Date,Transaction Details,Withdrawal,Deposits
17-05-2026,UPI/P2M/4717761213761/MAHALAKSHMI TEXTILES /UPI/HDFC BANK LTD,2876.00,
17-05-2026,UPI/P2M/6503813113241/ZOMATO LIMITED /UPI/AXIS BANK,1105.99,
18-05-2026,UPI/P2M/6504886755221/INNOVENT SPACES PRIVA/INNOVE/AIRTEL PAYMENTS BANK,150.00,
18-05-2026,UPI/P2M/6780052113861/CITY FOOD CENTRE /UPI/YES BANK LIMITED YBS,20.00,
18-05-2026,UPI/P2M/7347539413861/CALIFORNIA BURRITO /UPI/HDFC BANK LTD,284.00,
18-05-2026,UPI/P2M/7362388613861/CALIFORNIA BURRITO /UPI/HDFC BANK LTD,294.00,
18-05-2026,UPI/P2M/6138529327071/Malabar Gold Pvt Ltd /Buy/ro/AXIS BANK ABR,10000.00,
19-05-2026,OUTWARD REM NO. 0741RI26159067 USD 204.02,19908.39,
19-05-2026,UPI/P2M/8888279613961/CITY FOOD CENTRE /UPI/YES BANK LIMITED YBS,141.00,
19-05-2026,UPI/P2M/6139401796141/SWIGGY INSTAMART PRIV/Pay fo/AXIS BANK,748.00,
19-05-2026,OUTWARD REM NO. 0741RI26160215 USD 14.85,1493.32,
20-05-2026,NEFT TRANSFER FROM NEXTBILLION TECHNOLOGY PRIVA (IN22614001287216),,7840.25
20-05-2026,UPI/P2M/1531174014061/S.S Enterprises Inter/UPI/YES BANK LIMITED YBS,616.78,
20-05-2026,UPI/P2M/1880242814061/MIDHLAJ P M /UPI/YES BANK LIMITED YBS,178.00,
20-05-2026,UPI/P2A/6506313563281/AAKAR VER/UBIN/UPI/,89.00,
21-05-2026,UPI/P2M/3854815914161/CITY FOOD CENTRE /UPI/YES BANK LIMITED YBS,141.00,
21-05-2026,UPI/P2M/6507916109651/ZOMATO LIMITED /UPI/AXIS BANK,870.66,
22-05-2026,UPI/P2M/6508776964251/ZOMATO LIMITED /UPI/AXIS BANK,1725.32,
22-05-2026,UPI/P2A/6547489914261/Google In/UTIB/UPI/,312.07,
