Date,Transaction Details,Withdrawal,Deposits
25-05-2026,UPI/P2M/3293748514561/K226 KFC HSR Layout M/UPI/YES BANK LIMITED YBS,307.65,
25-05-2026,UPI/P2M/3320413014561/THE PRINCIPAL SECRETA/UPI/SBI PAYMENT SERVICES,500.0,
25-05-2026,UPI/P2M/3555554314561/MUHAMMED AJEER K P /UPI/YES BANK LIMITED YBS,40.0,
26-05-2026,UPI/P2M/5435691614661/MC DONALDS /UPI/HDFC BANK LTD,201.98,
26-05-2026,UPI/P2M/5450224214661/MC DONALDS /UPI/HDFC BANK LTD,368.0,
26-05-2026,UPI/P2M/5683194014661/Grand Fresh /UPI/YES BANK LIMITED YBS,80.0,
26-05-2026,UPI/P2M/6146020946191/INNOVENT SPACES PRIVA/INNOVE/AIRTEL PAYMENTS BANK,60.0,
27-05-2026,UPI/P2M/6513909893391/INNOVENT SPACES PRIVA/Induqu/AIRTEL PAYMENTS BANK,45.0,
27-05-2026,UPI/P2M/7031237314761/CITY FOOD CENTRE /UPI/YES BANK LIMITED YBS,442.0,
27-05-2026,UPI/P2M/7413436414761/CALIFORNIA BURRITO /UPI/HDFC BANK LTD,147.0,
27-05-2026,UPI/P2M/7431847914761/CALIFORNIA BURRITO /UPI/HDFC BANK LTD,147.0,
27-05-2026,UPI/P2M/7705405314761/VIMAYI MART /UPI/YES BANK LIMITED YBS,686.24,
27-05-2026,UPI/P2M/7716408014761/SV JUICE JOINT /UPI/YES BANK LIMITED YBS,60.0,
27-05-2026,UPI/P2M/6148861513651/Amazon Pay Groceries /You ar/AXIS BANK,2762.05,
28-05-2026,UPI/P2M/6514172221831/ZOMATO LIMITED /UPI/AXIS BANK,645.56,
29-05-2026,UPI/P2M/6515517647671/INNOVENT SPACES PRIVA/Induqu/AIRTEL PAYMENTS BANK,75.0,
29-05-2026,UPI/P2M/6149591139761/ZOMATO LIMITED /UPI/AXIS BANK,879.83,
30-05-2026,UPI/P2M/6516009068711/Malabar Gold Pvt Ltd /Buy/ro/AXIS BANK ABR,10000.0,
30-05-2026,UPI/P2M/6150401334821/Blinki /UPInt/HDFC BANK LTD,2988.0,
30-05-2026,ACH-CR-SAL-ENPHASE-SALARY M,,195029.0
30-05-2026,UPI/P2A/1033732931331/Blinki/HDFC/Refund/,2988.0,
30-05-2026,UPI/P2M/6150833617781/Blinki /Blinki/YES BANK LIMITED YBS,1894.0,
31-05-2026,UPI TO MERCHANT : ZOMATO (6517078397171),1577.0,
31-05-2026,UPI TO MERCHANT : ZOMATO LIMITED (6517101511391),831.68,
31-05-2026,UPI TO MERCHANT : HEISETASSE BEVERAGES (6594860161516),335.0,
31-05-2026,UPI TO MERCHANT : CLICK2RACE PRIVATE LI (6517614678031),3245.0,
31-05-2026,UPI TO MERCHANT : CLICK2RACE PRIVATE LI (6517505700111),1534.0,
